id,labels,popularity,name,username
1GpxP0nEqmQoQimVAp8bAZ,Release,,,
6bywSFiasl6HpfQLDvh0az,Release,,,
0lawSNBxNgJFQYJnQzLH8c,Artist,55.0,,
11Ax1twWIvL2xltYzbH3Up,Release,,,
4rfUHJjRb1Ywh0Gg8SEUcA,Release,,,
0du5cEVh5yTK9QJze8zA0C,Artist,93.0,,
4PgleR09JVnm3zY1fW3XBA,Release,,,
58ufpQsJ1DS5kq4hhzQDiI,Release,,,
6J84szYCnMfzEcvIcfWMFL,Release,,,
1Xyo4u8uXC1ZmMpatF05PJ,Artist,97.0,,
3OxfaVgvTxUTy7276t7SPU,Release,,,
35dut3ICqF3NEDkjxfzJJ1,Release,,,
1OARrXe5sB0gyy3MhQ8h92,Release,,,
742eAldb4AJKLoPgJhGRE7,Release,,,
3WFTGIO6E3Xh4paEOBY9OU,Release,,,
4SZko61aMnmgvNhfhgTuD3,Release,,,
0veuYKXCayS7oIfyqlibeR,Release,,,
5ll74bqtkcXlKE7wwkMq4g,Release,,,
4yP0hdKOZPNshxUOjY0cZj,Release,,,
4Uv86qWpGTxf7fU7lG5X6F,Release,,,
7bXgB6jMjp9ATFy66eO08Z,Artist,91.0,,
5onhEG8O3aKdg9b4lIdkNz,Release,,,
0tL8CzbfmF5poGm9puqALR,Release,,,
6YA4khiUxTlEpPRIuf4KgA,Release,,,
79WcTJuCulopfqul1awYJk,Release,,,
31U6s6obQrBLTqyvqfqzlM,Release,,,
3okhA6w5uau6ZNhnVpwVww,Release,,,
1BfLzaTFI5qKsAAk0Ae6aV,Release,,,
2W9Vq2BMrjiK6qGmJ5va7z,Release,,,
3zak0kNLcOY5vFcB3Ipskp,Release,,,
0VWmEVuQ8tA5iA3cCTrgxa,Release,,,
3LByoNjO4gbuX5D0u26LDY,Release,,,
4AGQTp6rk7v8fPbFu739l7,Release,,,
6df0qvkMXoyHGt9J8cujZb,Release,,,
20aDO05QIgZMY7BcKKI44D,Release,,,
4qZBW3f2Q8y0k1A84d4iAO,Release,,,
1F9LY06gadScF4g3g3BrDC,Release,,,
6r1lh7fHMB499vGKtIyJLy,Release,,,
6p5pW2WwgVECsOhrXPAyhI,Release,,,
49gaz5rhWWgqCw61M9700v,Release,,,
00FQb4jTyendYWaN8pK0wa,Artist,92.0,,
5HOHne1wzItQlIYmLXLYfZ,Release,,,
2wwCc6fcyhp1tfY3J6Javr,Release,,,
6QeosPQpJckkW0Obir5RT8,Release,,,
5XpEKORZ4y6OrCZSKsi46A,Release,,,
7xYiTrbTL57QO0bb4hXIKo,Release,,,
2DpEBrjCur1ythIZ10gJWw,Release,,,
1ORxRsK3MrSLvh7VQTF01F,Release,,,
3Sn5DDHo0l6lxSYVo8CqdK,Release,,,
4vXt6IpMcSnqonljffWlMI,Release,,,
0Dt3FbpMQwjoT5KNAw0IXR,Release,,,
5VoeRuTrGhTbKelUfwymwu,Release,,,
4F5dVhgk569Du5cLfal3t5,Release,,,
5YGY8feqx7naU7z4HrwZM6,Artist,86.0,,
7h7smPzBYx8LOLI3ncM3vQ,Release,,,
2ODvWsOgouMbaA5xf0RkJe,Release,,,
0HeDKsZqyskYWkoHmXObsv,Release,,,
5DvJgsMLbaR1HmAI6VhfcQ,Release,,,
5G5s00CN4Kmxz340ED2WL2,Release,,,
5BRhg6NSEZOj0BR6Iz56fR,Release,,,
45wbw92Z6V8G8iPKFzSEPN,Release,,,
